"108年03月 6579 研揚             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"108/03/04","35,100","2,724,150","77.30","77.80","77.30","77.70","+0.40","31",
"108/03/05","17,088","1,323,955","77.70","77.80","77.20","77.40","-0.30","16",
"108/03/06","34,000","2,622,000","77.20","77.30","77.00","77.00","-0.40","26",
"108/03/07","52,130","4,046,635","77.60","78.40","77.00","77.00"," 0.00","49",
"108/03/08","24,000","1,826,200","76.20","76.30","75.80","76.10","-0.90","24",
"108/03/11","36,000","2,731,100","76.10","76.20","75.60","75.70","-0.40","34",
"108/03/12","41,000","3,104,900","76.40","76.40","75.50","75.50","-0.20","34",
"108/03/13","28,000","2,112,800","75.30","76.10","75.20","75.20","-0.30","26",
"108/03/14","27,000","2,043,300","76.10","76.30","75.30","75.30","+0.10","26",
"108/03/15","26,030","1,969,986","75.60","76.10","75.60","75.60","+0.30","25",
"108/03/18","44,065","3,373,124","76.40","77.00","75.90","77.00","+1.40","37",
"108/03/19","58,000","4,470,600","77.30","77.50","76.30","76.40","-0.60","48",
"108/03/20","35,100","2,690,560","77.30","77.30","76.30","77.00","+0.60","33",
"108/03/21","46,230","3,570,148","76.90","77.50","76.70","77.50","+0.50","46",
"108/03/22","35,367","2,730,732","77.60","77.70","76.60","76.80","-0.70","30",
"108/03/25","12,090","918,075","75.80","76.20","75.80","75.90","-0.90","15",
"108/03/26","18,318","1,396,631","76.20","76.40","76.20","76.20","+0.30","16",
"108/03/27","17,000","1,284,700","75.90","75.90","75.20","75.60","-0.60","17",
"108/03/28","21,000","1,585,800","75.40","75.70","75.40","75.70","+0.10","20",
"108/03/29","9,100","689,850","75.50","76.00","75.50","76.00","+0.30","10",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

